,preco,quartos,suites,vagas,m2,bairro,zona_centro,zona_leste,zona_norte,zona_oeste,zona_sul
7448,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7449,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7450,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7451,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7452,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7453,320000,3,0,2,141,São Mateus,0,1,0,0,0
7454,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7455,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7456,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7457,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7458,2700000,3,3,4,520,Mooca,0,1,0,0,0
7459,490000,3,1,3,190,Vila Industrial,0,1,0,0,0
7460,215000,2,0,1,52,Vila União (zona Leste),0,1,0,0,0
7461,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7462,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7463,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7464,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7465,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7466,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7467,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7468,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7469,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7470,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7471,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7472,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7473,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7474,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7475,320000,3,0,2,141,São Mateus,0,1,0,0,0
7476,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7477,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7478,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7479,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7480,880000,3,3,3,220,Vila Portuguesa,0,1,0,0,0
7481,350000,2,0,2,96,Ermelino Matarazzo,0,1,0,0,0
7482,230000,2,0,1,60,Vila Paranaguá,0,1,0,0,0
7483,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7484,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7485,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7486,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7487,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7488,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7489,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7490,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7491,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7492,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7493,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7494,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7495,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7496,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7497,320000,3,0,2,141,São Mateus,0,1,0,0,0
7498,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7499,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7500,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7501,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7502,619000,3,1,5,180,Vila Matilde,0,1,0,0,0
7503,349000,2,0,2,55,Artur Alvim,0,1,0,0,0
7504,250000,2,2,2,95,Guaianazes,0,1,0,0,0
7505,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7506,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7507,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7508,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7509,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7510,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
